SeqID,Domain,Phylum,Class,Order,Family,Genus
Zotu28068,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
Zotu28450,Bacteria,Tenericutes,,,,
Zotu28483,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium
Zotu28745,Bacteria,,,,,
Zotu30045,Bacteria,Bacteroidetes,,,,
Zotu31488,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,
Zotu33242,Bacteria,,,,,
Zotu33553,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,
Zotu34544,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,
Zotu34936,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,,
Zotu35234,Bacteria,,,,,
Zotu35341,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,
Zotu36213,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia
Zotu36473,Bacteria,Firmicutes,Clostridia,,,
Zotu36737,Bacteria,Bacteroidetes,,,,
Zotu37621,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,
Zotu39083,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Zotu40170,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,
Zotu40347,Bacteria,Bacteroidetes,,,,
Zotu45322,Bacteria,Firmicutes,,,,
Zotu46039,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
Zotu46795,Bacteria,Bacteroidetes,,,,
Zotu48547,Bacteria,Firmicutes,Clostridia,Clostridiales,,
Zotu48562,Bacteria,Firmicutes,Negativicutes,,,
Zotu50140,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,
Zotu50593,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola
Zotu50919,Bacteria,,,,,
Zotu50968,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,,
Zotu55156,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,
Zotu58353,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,
